domainID,siteID,year,month,discharge_month_mean_L_sec,discharge_month_max,discharge_month_min,fishLifeStage,scientificName,taxonRank,taxonID,fish_month_tally,sum_fish_mass
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Etheostoma swaini,species,ETHSWA,1,0.8
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Fundulus notatus,species,FUNNOT,20,31.299999999999997
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Fundulus olivaceus,species,FUNOLI,17,20.300000000000004
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Hypentelium etowanum,species,HYPETO,2,24.5
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Ichthyomyzon gagei,species,ICHGAG,56,111.10000000000002
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Lampetra aepyptera,species,LAMAEP,49,155.29999999999998
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Lepomis megalotis,species,LEPMEG,3,54.400000000000006
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Lepomis miniatus,species,LEPMIN,1,8.2
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Luxilus chrysocephalus,species,LUXCHR,9,132.9
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Micropterus henshalli,species,MICHEN,2,318.3
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Moxostoma poecilurum,species,MOXPOE,1,40.4
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Nocomis leptocephalus,species,NOCLEP,10,281.4
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Notropis baileyi,species,NOTBAI,312,307.20000000000067
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Notropis stilbius,species,NOTSTI,43,50.300000000000004
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Notropis texanus,species,NOTTEX,48,32.60000000000001
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Notropis volucellus,species,NOTVOL,1,0.3
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Noturus funebris,species,NOTFUN,34,585.3
